graph_id,node_id,node_label,attr_0
1,0,0,23.0
1,1,0,10.0
1,2,0,25.0
1,3,0,7.0
1,4,0,12.0
1,5,0,11.0
1,6,0,5.0
1,7,0,7.0
1,8,0,9.0
1,9,0,3.0
1,10,0,6.0
1,11,0,22.0
1,12,0,8.0
1,13,0,26.0
1,14,0,7.0
1,15,0,12.0
1,16,0,11.0
1,17,0,5.0
1,18,0,7.0
1,19,0,8.0
1,20,0,3.0
1,21,0,6.0
1,22,1,3.0
1,23,1,9.0
1,24,1,10.0
1,25,1,7.0
1,26,1,10.0
1,27,1,8.0
1,28,1,5.0
1,29,1,4.0
1,30,1,3.0
1,31,1,3.0
1,32,1,3.0
1,33,1,9.0
1,34,1,10.0
1,35,1,7.0
1,36,1,10.0
1,37,1,8.0
1,38,1,5.0
1,39,1,4.0
1,40,1,3.0
1,41,1,3.0
2,0,0,10.0
2,1,0,10.0
2,2,0,3.0
2,3,0,19.0
2,4,0,14.0
2,5,0,24.0
2,6,0,9.0
2,7,0,12.0
2,8,0,3.0
2,9,0,10.0
2,10,0,10.0
2,11,0,3.0
2,12,0,7.0
2,13,0,3.0
2,14,1,5.0
2,15,1,13.0
2,16,1,13.0
2,17,1,10.0
2,18,1,7.0
2,19,1,3.0
2,20,1,4.0
2,21,1,4.0
2,22,1,4.0
2,23,1,3.0
2,24,1,3.0
2,25,1,3.0
2,26,1,3.0
3,0,0,8.0
3,1,0,8.0
3,2,0,17.0
3,3,0,13.0
3,4,0,10.0
3,5,0,9.0
3,6,0,16.0
3,7,0,3.0
3,8,0,16.0
3,9,1,3.0
4,0,0,11.0
4,1,0,7.0
4,2,0,3.0
4,3,0,4.0
4,4,0,11.0
4,5,0,7.0
4,6,0,3.0
4,7,0,4.0
4,8,0,11.0
4,9,0,7.0
4,10,0,3.0
4,11,0,4.0
4,12,1,4.0
4,13,1,5.0
4,14,1,5.0
4,15,1,4.0
4,16,1,4.0
4,17,1,5.0
4,18,1,5.0
4,19,1,5.0
4,20,1,4.0
4,21,1,5.0
4,22,1,5.0
4,23,1,4.0
5,0,0,12.0
5,1,0,3.0
5,2,0,8.0
5,3,1,8.0
5,4,1,9.0
5,5,1,10.0
5,6,1,7.0
5,7,1,4.0
5,8,1,4.0
5,9,1,4.0
5,10,1,5.0
6,0,0,3.0
6,1,0,7.0
6,2,0,3.0
6,3,0,10.0
6,4,0,18.0
6,5,0,3.0
6,6,0,3.0
6,7,0,12.0
6,8,0,11.0
6,9,0,3.0
6,10,0,5.0
6,11,0,7.0
6,12,0,7.0
6,13,0,18.0
6,14,0,4.0
6,15,0,13.0
6,16,0,4.0
6,17,0,17.0
6,18,0,12.0
6,19,0,16.0
6,20,0,9.0
6,21,0,9.0
6,22,0,19.0
6,23,0,3.0
6,24,0,6.0
6,25,0,10.0
6,26,0,21.0
6,27,0,3.0
6,28,0,3.0
6,29,0,4.0
6,30,0,13.0
6,31,0,11.0
6,32,0,3.0
6,33,0,5.0
