graph_id,target
1,0
2,0
3,0
4,0
6,0
8,0
9,0
10,0
11,0
14,0
15,0
16,0
17,0
19,0
22,0
24,0
25,0
27,0
30,0
31,0
32,0
35,0
36,0
37,0
38,0
40,0
41,0
42,0
43,0
45,0
46,0
47,0
51,0
52,0
53,0
54,0
56,0
57,0
58,0
60,0
61,0
62,0
63,0
65,0
66,0
73,0
75,0
77,0
79,0
81,0
82,0
83,0
84,0
85,0
87,0
88,0
89,0
92,0
93,0
94,0
95,0
97,0
100,0
101,0
102,0
104,0
106,0
107,0
108,0
109,0
110,0
111,0
114,0
115,0
119,0
120,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
130,0
131,0
132,0
133,0
134,0
135,0
139,0
141,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
151,0
152,0
154,0
155,0
156,0
157,0
158,0
160,0
161,0
164,0
166,0
167,0
170,0
171,0
173,0
174,0
175,0
177,0
178,0
180,0
181,0
182,0
184,0
185,0
187,0
188,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
204,0
206,0
208,0
211,0
212,0
214,0
215,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
228,0
229,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
240,0
241,0
243,0
244,0
245,0
247,0
248,0
249,0
251,0
252,0
254,0
255,0
256,0
257,0
259,0
261,0
262,0
263,0
268,0
269,0
272,0
274,0
275,0
276,0
279,0
280,0
282,0
283,0
284,0
285,0
286,0
288,0
290,0
291,0
294,0
296,0
299,0
300,0
301,0
302,0
304,0
305,0
306,0
307,0
310,0
311,0
313,0
314,0
315,0
316,0
319,0
321,0
322,0
323,0
324,0
326,0
327,0
328,0
330,0
331,0
332,0
336,0
339,0
341,0
342,0
345,0
348,0
349,0
350,0
351,0
353,0
355,0
356,0
357,0
358,0
359,0
361,0
364,0
367,0
368,0
369,0
373,0
374,0
375,0
376,0
377,0
378,0
380,0
382,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
396,0
397,0
399,0
400,0
401,0
403,0
406,0
410,0
411,0
412,0
415,0
416,0
421,0
422,0
423,0
425,0
427,0
429,0
430,0
431,0
432,0
