graph_id,node_id,node_label
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,1
1,15,2
1,16,2
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,1
2,7,0
2,8,0
2,9,0
2,10,1
2,11,2
2,12,2
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,1
3,8,0
3,9,0
3,10,1
3,11,2
3,12,2
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,1
4,17,2
4,18,2
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,3
5,7,1
5,8,2
5,9,2
5,10,3
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,1
6,17,2
6,18,2
6,19,1
6,20,2
6,21,2
6,22,1
6,23,2
6,24,2
6,25,1
6,26,2
6,27,2
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,1
7,8,2
7,9,2
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
8,0,0
8,1,0
8,2,2
8,3,2
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,1
8,18,2
8,19,2
9,0,0
9,1,0
9,2,0
9,3,1
9,4,0
9,5,1
9,6,0
9,7,0
9,8,0
9,9,1
9,10,2
9,11,2
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,1
10,15,2
10,16,2
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,0
11,14,1
11,15,2
11,16,2
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,1
12,17,1
12,18,2
12,19,2
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,0
13,16,1
13,17,2
13,18,2
13,19,1
13,20,2
13,21,2
14,0,0
14,1,1
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,1
14,10,1
14,11,2
14,12,2
15,0,0
15,1,0
15,2,0
15,3,0
15,4,0
